,Id_Rol,Id_Per
0,3cbf8886-74f5-11ed-97c2-0242ac1c000c,3cd2da08-74f5-11ed-97c2-0242ac1c000c
1,3cbf8b24-74f5-11ed-97c2-0242ac1c000c,3cd34a38-74f5-11ed-97c2-0242ac1c000c
2,3cbf8bf6-74f5-11ed-97c2-0242ac1c000c,3cd3556e-74f5-11ed-97c2-0242ac1c000c
3,3cbf8c8c-74f5-11ed-97c2-0242ac1c000c,3cd35668-74f5-11ed-97c2-0242ac1c000c
4,3cbf8d22-74f5-11ed-97c2-0242ac1c000c,3cd35744-74f5-11ed-97c2-0242ac1c000c
5,3cbf8dae-74f5-11ed-97c2-0242ac1c000c,3cd357ee-74f5-11ed-97c2-0242ac1c000c
6,3cbf8e4e-74f5-11ed-97c2-0242ac1c000c,3cd35898-74f5-11ed-97c2-0242ac1c000c
7,3cbf8eda-74f5-11ed-97c2-0242ac1c000c,3cd35938-74f5-11ed-97c2-0242ac1c000c
8,3cbf8f8e-74f5-11ed-97c2-0242ac1c000c,3cd359ba-74f5-11ed-97c2-0242ac1c000c
9,3cbf9042-74f5-11ed-97c2-0242ac1c000c,3cd35a50-74f5-11ed-97c2-0242ac1c000c
10,3cbf90d8-74f5-11ed-97c2-0242ac1c000c,3cd35af0-74f5-11ed-97c2-0242ac1c000c
11,3cbf9178-74f5-11ed-97c2-0242ac1c000c,3cd35b86-74f5-11ed-97c2-0242ac1c000c
12,3cbf920e-74f5-11ed-97c2-0242ac1c000c,3cd35c26-74f5-11ed-97c2-0242ac1c000c
13,3cbf931c-74f5-11ed-97c2-0242ac1c000c,3cd35cbc-74f5-11ed-97c2-0242ac1c000c
14,3cbf93a8-74f5-11ed-97c2-0242ac1c000c,3cd35d48-74f5-11ed-97c2-0242ac1c000c
15,3cbf943e-74f5-11ed-97c2-0242ac1c000c,3cd35dde-74f5-11ed-97c2-0242ac1c000c
16,3cbf94e8-74f5-11ed-97c2-0242ac1c000c,3cd35e7e-74f5-11ed-97c2-0242ac1c000c
17,3cbf9592-74f5-11ed-97c2-0242ac1c000c,3cd35f14-74f5-11ed-97c2-0242ac1c000c
18,3cbf9646-74f5-11ed-97c2-0242ac1c000c,3cd35fa0-74f5-11ed-97c2-0242ac1c000c
19,3cbf96e6-74f5-11ed-97c2-0242ac1c000c,3cd3602c-74f5-11ed-97c2-0242ac1c000c
