,Id_IE,Id_Car,Id_Se,Id_Par,Id_Can,Id_Pro
0,7a080678-74f5-11ed-b2bf-0242ac1c000c,7a214ec6-74f5-11ed-b2bf-0242ac1c000c,7a36a5b4-74f5-11ed-b2bf-0242ac1c000c,7a4e19c4-74f5-11ed-b2bf-0242ac1c000c,7a6301fe-74f5-11ed-b2bf-0242ac1c000c,7a7bce32-74f5-11ed-b2bf-0242ac1c000c
1,7a0809b6-74f5-11ed-b2bf-0242ac1c000c,7a2150a6-74f5-11ed-b2bf-0242ac1c000c,7a36cc1a-74f5-11ed-b2bf-0242ac1c000c,7a4e1c62-74f5-11ed-b2bf-0242ac1c000c,7a6303e8-74f5-11ed-b2bf-0242ac1c000c,7a7bd012-74f5-11ed-b2bf-0242ac1c000c
2,7a080a9c-74f5-11ed-b2bf-0242ac1c000c,7a215196-74f5-11ed-b2bf-0242ac1c000c,7a36cd28-74f5-11ed-b2bf-0242ac1c000c,7a4e1d3e-74f5-11ed-b2bf-0242ac1c000c,7a630564-74f5-11ed-b2bf-0242ac1c000c,7a7bd0f8-74f5-11ed-b2bf-0242ac1c000c
3,7a080b28-74f5-11ed-b2bf-0242ac1c000c,7a215268-74f5-11ed-b2bf-0242ac1c000c,7a36ce04-74f5-11ed-b2bf-0242ac1c000c,7a4e1df2-74f5-11ed-b2bf-0242ac1c000c,7a630640-74f5-11ed-b2bf-0242ac1c000c,7a7bd1b6-74f5-11ed-b2bf-0242ac1c000c
4,7a080baa-74f5-11ed-b2bf-0242ac1c000c,7a21533a-74f5-11ed-b2bf-0242ac1c000c,7a36cecc-74f5-11ed-b2bf-0242ac1c000c,7a4e1e9c-74f5-11ed-b2bf-0242ac1c000c,7a630708-74f5-11ed-b2bf-0242ac1c000c,7a7bd260-74f5-11ed-b2bf-0242ac1c000c
5,7a080c4a-74f5-11ed-b2bf-0242ac1c000c,7a215402-74f5-11ed-b2bf-0242ac1c000c,7a36cf80-74f5-11ed-b2bf-0242ac1c000c,7a4e1f46-74f5-11ed-b2bf-0242ac1c000c,7a6307da-74f5-11ed-b2bf-0242ac1c000c,7a7bd30a-74f5-11ed-b2bf-0242ac1c000c
6,7a080d1c-74f5-11ed-b2bf-0242ac1c000c,7a2154ca-74f5-11ed-b2bf-0242ac1c000c,7a36d03e-74f5-11ed-b2bf-0242ac1c000c,7a4e1fe6-74f5-11ed-b2bf-0242ac1c000c,7a6308a2-74f5-11ed-b2bf-0242ac1c000c,7a7bd3b4-74f5-11ed-b2bf-0242ac1c000c
7,7a080dc6-74f5-11ed-b2bf-0242ac1c000c,7a215592-74f5-11ed-b2bf-0242ac1c000c,7a36d0fc-74f5-11ed-b2bf-0242ac1c000c,7a4e2086-74f5-11ed-b2bf-0242ac1c000c,7a630ae6-74f5-11ed-b2bf-0242ac1c000c,7a7bd45e-74f5-11ed-b2bf-0242ac1c000c
8,7a080f24-74f5-11ed-b2bf-0242ac1c000c,7a215650-74f5-11ed-b2bf-0242ac1c000c,7a36d1ba-74f5-11ed-b2bf-0242ac1c000c,7a4e211c-74f5-11ed-b2bf-0242ac1c000c,7a630bae-74f5-11ed-b2bf-0242ac1c000c,7a7bd508-74f5-11ed-b2bf-0242ac1c000c
9,7a081014-74f5-11ed-b2bf-0242ac1c000c,7a215704-74f5-11ed-b2bf-0242ac1c000c,7a36d264-74f5-11ed-b2bf-0242ac1c000c,7a4e7414-74f5-11ed-b2bf-0242ac1c000c,7a630c76-74f5-11ed-b2bf-0242ac1c000c,7a7bd5b2-74f5-11ed-b2bf-0242ac1c000c
10,7a0810d2-74f5-11ed-b2bf-0242ac1c000c,7a2157b8-74f5-11ed-b2bf-0242ac1c000c,7a36d318-74f5-11ed-b2bf-0242ac1c000c,7a4e7590-74f5-11ed-b2bf-0242ac1c000c,7a630d34-74f5-11ed-b2bf-0242ac1c000c,7a7bd666-74f5-11ed-b2bf-0242ac1c000c
11,7a081190-74f5-11ed-b2bf-0242ac1c000c,7a215876-74f5-11ed-b2bf-0242ac1c000c,7a36d3b8-74f5-11ed-b2bf-0242ac1c000c,7a4e7752-74f5-11ed-b2bf-0242ac1c000c,7a630de8-74f5-11ed-b2bf-0242ac1c000c,7a7bd710-74f5-11ed-b2bf-0242ac1c000c
12,7a08124e-74f5-11ed-b2bf-0242ac1c000c,7a215934-74f5-11ed-b2bf-0242ac1c000c,7a36d462-74f5-11ed-b2bf-0242ac1c000c,7a4e7824-74f5-11ed-b2bf-0242ac1c000c,7a630ea6-74f5-11ed-b2bf-0242ac1c000c,7a7bd7c4-74f5-11ed-b2bf-0242ac1c000c
