,Id_Par,Nombre_Par,Estado_Par,Id_Pro,Id_Can
0,359d039c-74f7-11ed-a487-0242ac1c000c,Parroquia Madrid,Activo,35afd436-74f7-11ed-a487-0242ac1c000c,35a78b00-74f7-11ed-a487-0242ac1c000c
1,359d070c-74f7-11ed-a487-0242ac1c000c,Parroquia Huelva,Activo,35afd576-74f7-11ed-a487-0242ac1c000c,35a78ea2-74f7-11ed-a487-0242ac1c000c
2,359d07e8-74f7-11ed-a487-0242ac1c000c,Parroquia Cádiz,Inactivo,35afd620-74f7-11ed-a487-0242ac1c000c,35a78f7e-74f7-11ed-a487-0242ac1c000c
3,359d089c-74f7-11ed-a487-0242ac1c000c,Parroquia Albacete,Inactivo,35afd6ac-74f7-11ed-a487-0242ac1c000c,35a79014-74f7-11ed-a487-0242ac1c000c
4,359d093c-74f7-11ed-a487-0242ac1c000c,Parroquia Burgos,Inactivo,35afd72e-74f7-11ed-a487-0242ac1c000c,35a790b4-74f7-11ed-a487-0242ac1c000c
5,359d09dc-74f7-11ed-a487-0242ac1c000c,Parroquia Córdoba,Inactivo,35afd814-74f7-11ed-a487-0242ac1c000c,35a79140-74f7-11ed-a487-0242ac1c000c
6,359d0a72-74f7-11ed-a487-0242ac1c000c,Parroquia Valencia,Activo,35afd8aa-74f7-11ed-a487-0242ac1c000c,35a791d6-74f7-11ed-a487-0242ac1c000c
7,359d0b1c-74f7-11ed-a487-0242ac1c000c,Parroquia Santa Cruz de Tenerife,Inactivo,35afd922-74f7-11ed-a487-0242ac1c000c,35a79262-74f7-11ed-a487-0242ac1c000c
8,359d0bb2-74f7-11ed-a487-0242ac1c000c,Parroquia Ourense,Inactivo,35afd9a4-74f7-11ed-a487-0242ac1c000c,35a792ee-74f7-11ed-a487-0242ac1c000c
9,359d0c52-74f7-11ed-a487-0242ac1c000c,Parroquia Castellón,Activo,35afda26-74f7-11ed-a487-0242ac1c000c,35a7937a-74f7-11ed-a487-0242ac1c000c
10,359d0ce8-74f7-11ed-a487-0242ac1c000c,Parroquia Zamora,Activo,35afdab2-74f7-11ed-a487-0242ac1c000c,35a79406-74f7-11ed-a487-0242ac1c000c
11,359d0d88-74f7-11ed-a487-0242ac1c000c,Parroquia Ávila,Activo,35afdb48-74f7-11ed-a487-0242ac1c000c,35a79492-74f7-11ed-a487-0242ac1c000c
12,359d0e1e-74f7-11ed-a487-0242ac1c000c,Parroquia Burgos,Activo,35afdbc0-74f7-11ed-a487-0242ac1c000c,35a79528-74f7-11ed-a487-0242ac1c000c
13,359d0eb4-74f7-11ed-a487-0242ac1c000c,Parroquia Córdoba,Inactivo,35afdc42-74f7-11ed-a487-0242ac1c000c,35a795b4-74f7-11ed-a487-0242ac1c000c
14,359d0f4a-74f7-11ed-a487-0242ac1c000c,Parroquia Barcelona,Activo,35afdcba-74f7-11ed-a487-0242ac1c000c,35a79640-74f7-11ed-a487-0242ac1c000c
15,359d0fe0-74f7-11ed-a487-0242ac1c000c,Parroquia Murcia,Activo,35afdd3c-74f7-11ed-a487-0242ac1c000c,35a796c2-74f7-11ed-a487-0242ac1c000c
16,359d1080-74f7-11ed-a487-0242ac1c000c,Parroquia Cáceres,Inactivo,35afddbe-74f7-11ed-a487-0242ac1c000c,35a79744-74f7-11ed-a487-0242ac1c000c
17,359d1116-74f7-11ed-a487-0242ac1c000c,Parroquia Ceuta,Activo,35afde4a-74f7-11ed-a487-0242ac1c000c,35a797d0-74f7-11ed-a487-0242ac1c000c
18,359d11ac-74f7-11ed-a487-0242ac1c000c,Parroquia Cádiz,Activo,35afdecc-74f7-11ed-a487-0242ac1c000c,35a7985c-74f7-11ed-a487-0242ac1c000c
19,359d1242-74f7-11ed-a487-0242ac1c000c,Parroquia Segovia,Inactivo,35afdf4e-74f7-11ed-a487-0242ac1c000c,35a798e8-74f7-11ed-a487-0242ac1c000c
20,359d13a0-74f7-11ed-a487-0242ac1c000c,Parroquia Baleares,Inactivo,35afdfd0-74f7-11ed-a487-0242ac1c000c,35a79974-74f7-11ed-a487-0242ac1c000c
21,359d14fe-74f7-11ed-a487-0242ac1c000c,Parroquia Melilla,Inactivo,35afe052-74f7-11ed-a487-0242ac1c000c,35a79a00-74f7-11ed-a487-0242ac1c000c
22,359d15a8-74f7-11ed-a487-0242ac1c000c,Parroquia Zamora,Activo,35afe0d4-74f7-11ed-a487-0242ac1c000c,35a79a8c-74f7-11ed-a487-0242ac1c000c
23,359d1648-74f7-11ed-a487-0242ac1c000c,Parroquia León,Inactivo,35afe160-74f7-11ed-a487-0242ac1c000c,35a79b0e-74f7-11ed-a487-0242ac1c000c
24,359d16e8-74f7-11ed-a487-0242ac1c000c,Parroquia Teruel,Activo,35afe1e2-74f7-11ed-a487-0242ac1c000c,35a79b9a-74f7-11ed-a487-0242ac1c000c
25,359d1800-74f7-11ed-a487-0242ac1c000c,Parroquia Zaragoza,Inactivo,35afe25a-74f7-11ed-a487-0242ac1c000c,35a79c30-74f7-11ed-a487-0242ac1c000c
